,player_idx,opp_idx,player_id,player_name,tourney_date,minutes_prev_matches_in_tourney,bpFaced_avg_last_10_matches,match_count_last_30_days,ace_avg_last_365_days,win_rate_last_10_matches,rank,rank_points,minutes_sum_last_30_days,bpFaced_avg_last_365_days,opp_player_id,opp_player_name,opp_tourney_date,opp_minutes_prev_matches_in_tourney,opp_bpFaced_avg_last_10_matches,opp_match_count_last_30_days,opp_ace_avg_last_365_days,opp_win_rate_last_10_matches,opp_rank,opp_rank_points,opp_minutes_sum_last_30_days,opp_bpFaced_avg_last_365_days,minutes_prev_matches_in_tourney_diff,rank_diff,bpFaced_avg_last_365_days_diff,points_diff,bpFaced_avg_last_10_matches_ratio_log,match_count_last_30_days_ratio_log,ace_avg_last_365_days_ratio_log,win_rate_last_10_matches_ratio_log,minutes_sum_last_30_days_ratio_log,pred_value,pred_proba
13,1,1230,200002,Mirjana Lucic,2018-01-15,138.0,10.8,3,2.972972972972973,0.4,30.0,1618.0,234.0,9.027027027027026,210884,Melisa Martinov,2012-04-20,0.0,,0,,,,,0.0,,138.0,,,,,,,,,1,0.7586230222640787
14,1,1278,200002,Mirjana Lucic,2018-01-15,138.0,10.8,3,2.972972972972973,0.4,30.0,1618.0,234.0,9.027027027027026,211260,Marie Benoit,2024-11-15,0.0,10.0,0,1.6666666666666667,0.2,208.0,346.0,0.0,7.333333333333333,138.0,-178.0,1.6936936936936933,1272.0,-3.38122524847524,-4.4630304188269685,-4.469810105812347,-5.512852543325646,-0.38973926580270024,0,0.3430388191421965
15,1,1311,200002,Mirjana Lucic,2018-01-15,138.0,10.8,3,2.972972972972973,0.4,30.0,1618.0,234.0,9.027027027027026,211472,Oleksandra Korashvili,2015-07-27,48.0,5.8,0,,0.4,582.0,38.0,0.0,,90.0,-552.0,,1580.0,-1.1954621146580273,-2.277267285009756,-2.2840469719951346,-3.3270894095084333,1.7960238680145124,1,0.6137671267008376
16,1,1315,200002,Mirjana Lucic,2018-01-15,138.0,10.8,3,2.972972972972973,0.4,30.0,1618.0,234.0,9.027027027027026,211533,Jelena Ostapenko,2024-09-09,0.0,7.3,2,3.9444444444444446,0.5,12.0,3008.0,158.0,8.092592592592593,138.0,18.0,0.9344344344344329,-1390.0,-5.541263545158426,-6.623068715510155,-6.629848402495534,-7.672890840008832,-2.549777562485886,0,0.07500195137346426
17,1,1385,200002,Mirjana Lucic,2018-01-15,138.0,10.8,3,2.972972972972973,0.4,30.0,1618.0,234.0,9.027027027027026,211977,Adrijana Lekaj,2023-04-15,0.0,,4,,0.5,,,316.0,,138.0,,,,,,,,,1,0.7586230222640787
18,1,1394,200002,Mirjana Lucic,2018-01-15,138.0,10.8,3,2.972972972972973,0.4,30.0,1618.0,234.0,9.027027027027026,212044,Katharina Gerlach,2022-08-29,0.0,11.5,0,1.2,0.3,251.0,261.0,0.0,9.6,138.0,-221.0,-0.5729729729729733,1357.0,-3.100244972289478,-4.182050142641207,-4.188829829626585,-5.231872267139884,-0.1087589896169379,0,0.38566493386515316
19,1,1457,200002,Mirjana Lucic,2018-01-15,138.0,10.8,3,2.972972972972973,0.4,30.0,1618.0,234.0,9.027027027027026,212302,Lesedi Sheya Jacobs,2015-04-17,0.0,,0,,0.0,,,0.0,,138.0,,,,,,,,,1,0.7586230222640787
20,1,1691,200002,Mirjana Lucic,2018-01-15,138.0,10.8,3,2.972972972972973,0.4,30.0,1618.0,234.0,9.027027027027026,214646,Xiaodi You,2024-10-28,112.0,7.7,5,2.4375,0.4,306.0,207.0,517.0,9.0,26.0,-276.0,0.027027027027026307,1411.0,-2.8694385482296987,-3.951243718581427,-3.958023405566806,-5.001065843080105,0.12204743444284097,0,0.22897084677531385
21,1,1696,200002,Mirjana Lucic,2018-01-15,138.0,10.8,3,2.972972972972973,0.4,30.0,1618.0,234.0,9.027027027027026,214679,Sunam Jeong,2019-02-09,0.0,9.0,0,1.0,0.3333333333333333,582.0,27.0,0.0,9.333333333333334,138.0,-552.0,-0.3063063063063076,1591.0,-0.8641049787035848,-1.9459101490553135,-1.9526898360406921,-2.9957322735539913,2.127381003968955,1,0.725863373641259
22,1,1726,200002,Mirjana Lucic,2018-01-15,138.0,10.8,3,2.972972972972973,0.4,30.0,1618.0,234.0,9.027027027027026,214882,Oliwia Szymczuch,2015-04-06,28.0,,0,,1.0,,,0.0,,110.0,,,,,,,,,1,0.7123510892473389
